,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
0,3,115.0,1,1,1,1,1,1,1,88.6,168.8,64.1,48.8,2548,1,1,130,1,3.47,2.68,9.0,111.0,5000.0,21,27,16500.0
1,1,115.0,1,1,1,1,2,1,1,94.5,171.2,65.5,52.4,2823,2,2,152,1,2.68,3.47,9.0,154.0,5000.0,19,26,16500.0
2,2,164.0,2,1,1,2,3,2,1,99.8,176.6,66.2,54.3,2337,3,1,109,1,3.19,3.4,10.0,102.0,5500.0,24,30,13950.0
3,2,164.0,2,1,1,2,3,3,1,99.4,176.6,66.4,54.3,2824,3,3,136,1,3.19,3.4,8.0,115.0,5500.0,18,22,17450.0
4,2,115.0,2,1,1,1,3,2,1,99.8,177.3,66.3,53.1,2507,3,3,136,1,3.19,3.4,8.5,110.0,5500.0,19,25,15250.0
5,1,158.0,2,1,1,2,3,2,1,105.8,192.7,71.4,55.7,2844,3,3,136,1,3.19,3.4,8.5,110.0,5500.0,19,25,17710.0
6,1,115.0,2,1,1,2,4,2,1,105.8,192.7,71.4,55.7,2954,3,3,136,1,3.19,3.4,8.5,110.0,5500.0,19,25,18920.0
7,1,158.0,2,1,2,2,3,2,1,105.8,192.7,71.4,55.9,3086,3,3,131,1,3.13,3.4,8.3,140.0,5500.0,17,20,23875.0
9,2,192.0,3,1,1,1,3,1,1,101.2,176.8,64.8,54.3,2395,3,1,108,1,3.5,2.8,8.8,101.0,5800.0,23,29,16430.0
10,0,192.0,3,1,1,2,3,1,1,101.2,176.8,64.8,54.3,2395,3,1,108,1,3.5,2.8,8.8,101.0,5800.0,23,29,16925.0
11,0,188.0,3,1,1,1,3,1,1,101.2,176.8,64.8,54.3,2710,3,2,164,1,3.31,3.19,9.0,121.0,4250.0,21,28,20970.0
12,0,188.0,3,1,1,2,3,1,1,101.2,176.8,64.8,54.3,2765,3,2,164,1,3.31,3.19,9.0,121.0,4250.0,21,28,21105.0
13,1,115.0,3,1,1,2,3,1,1,103.5,189.0,66.9,55.7,3055,3,2,164,1,3.31,3.19,9.0,121.0,4250.0,20,25,24565.0
14,0,115.0,3,1,1,2,3,1,1,103.5,189.0,66.9,55.7,3230,3,2,209,1,3.62,3.39,8.0,182.0,5400.0,16,22,30760.0
15,0,115.0,3,1,1,1,3,1,1,103.5,193.8,67.9,53.7,3380,3,2,209,1,3.62,3.39,8.0,182.0,5400.0,16,22,41315.0
16,0,115.0,3,1,1,2,3,1,1,110.0,197.0,70.9,56.3,3505,3,2,209,1,3.62,3.39,8.0,182.0,5400.0,15,20,36880.0
17,2,121.0,4,1,1,1,2,2,1,88.4,141.1,60.3,53.2,1488,4,4,61,2,2.91,3.03,9.5,48.0,5100.0,47,53,5151.0
18,1,98.0,4,1,1,1,2,2,1,94.5,155.9,63.6,52.0,1874,3,1,90,2,3.03,3.11,9.6,70.0,5400.0,38,43,6295.0
19,0,81.0,4,1,1,2,3,2,1,94.5,158.8,63.6,52.0,1909,3,1,90,2,3.03,3.11,9.6,70.0,5400.0,38,43,6575.0
20,1,118.0,5,1,1,1,2,2,1,93.7,157.3,63.8,50.8,1876,3,1,90,2,2.97,3.23,9.41,68.0,5500.0,37,41,5572.0
21,1,118.0,5,1,1,1,2,2,1,93.7,157.3,63.8,50.8,1876,3,1,90,2,2.97,3.23,9.4,68.0,5500.0,31,38,6377.0
22,1,118.0,5,1,2,1,2,2,1,93.7,157.3,63.8,50.8,2128,3,1,98,1,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0
23,1,148.0,5,1,1,2,2,2,1,93.7,157.3,63.8,50.6,1967,3,1,90,2,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0
24,1,148.0,5,1,1,2,3,2,1,93.7,157.3,63.8,50.6,1989,3,1,90,2,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0
25,1,148.0,5,1,1,2,3,2,1,93.7,157.3,63.8,50.6,1989,3,1,90,2,2.97,3.23,9.4,68.0,5500.0,31,38,7609.0
26,1,148.0,5,1,2,3,3,2,1,93.7,157.3,63.8,50.6,2191,3,1,98,1,3.03,3.39,7.6,102.0,5500.0,24,30,8558.0
